,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,AVG CPU TEMP
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space,
11/23/2021 23:35:53,0.7692337,0.7692337,0.7692337,36,36,37,1197.28027,1197.28027,1.75600982,0.274099022,0.005283477,99.77335,25.9501343,2.04442215,5.833851,44,23.2809753,36.33333333
11/23/2021 23:35:54,0,2.30768919,1.15384459,37,37,37,1197.28027,1197.28027,1.77003622,0.2851061,0.00583213,99.77336,25.944519,2.04397964,5.83429337,44,23.2809753,37
11/23/2021 23:35:55,0,2.30768919,1.15384459,36,36,37,1197.28052,1197.28052,1.76423979,0.2782748,0.005797081,99.77338,25.9357,2.04328537,5.83498764,44,23.2809753,36.33333333
11/23/2021 23:35:56,0,2.30768919,1.15384459,36,36,37,1197.28015,1197.28015,1.75606811,0.271756083,0.005758889,99.7733459,25.9326019,2.04304123,5.835232,44,23.2809753,36.33333333
11/23/2021 23:35:57,0,2.272725,1.13636255,35,35,37,1197.28027,1197.28027,1.86398757,0.3593042,0.005696196,99.77335,25.9254913,2.04248047,5.83579254,44,23.2809753,35.66666667
11/23/2021 23:35:58,0,2.30768919,1.15384459,37,37,37,1197.28027,1197.28027,1.77674,0.290881425,0.005481547,99.77335,25.9155121,2.04169464,5.83657837,44,23.2809753,37
11/23/2021 23:35:59,0,1.5625,0.78125,36,36,37,1197.2804,1197.2804,1.840905,0.345599532,0.005912659,99.77336,25.914978,2.04165268,5.83662033,44,23.2809753,36.33333333
11/23/2021 23:36:00,0,36.66054,18.33027,36,41,41,2993.20117,2993.20117,7.75632572,5.79522943,0.00576954,99.77337,25.90931,2.04120636,5.83706665,44,23.2809753,39.33333333
11/23/2021 23:36:01,22.65625,33.59375,28.125,35,36,39,1197.2793,1197.2793,9.020213,7.167524,0.002434905,99.77328,26.0588379,2.05298615,5.825287,44,23.2809753,36.66666667
11/23/2021 23:36:02,8.4615345,11.5384579,10.0000019,36,37,40,1197.281,1197.281,3.10707474,1.47356427,0.002684475,99.7734146,25.9654312,2.04562759,5.83264542,44,23.2809753,37.66666667
11/23/2021 23:36:03,0.78125,1.5625,1.171875,37,37,37,1197.28027,1197.28027,1.79551268,0.318888962,0.002700638,99.77335,26.0007782,2.04841232,5.82986069,44,23.2809753,37
11/23/2021 23:36:04,0,2.30768919,1.15384459,37,37,38,1197.2804,1197.2804,1.80445814,0.316696078,0.002474188,99.77337,25.9968567,2.04810333,5.83016968,44,23.2809753,37.33333333
11/23/2021 23:36:05,29.6875,7.8125,18.75,39,39,40,1197.28027,1197.28027,6.402594,4.675924,0.002716715,99.77335,26.0349121,2.05110168,5.82717133,44,23.2809753,39.33333333
11/23/2021 23:36:06,0,2.30768919,1.15384459,38,38,38,1197.28027,1197.28027,1.85972869,0.362486929,0.0027493,99.77335,26.01661,2.04965973,5.82861328,44,23.2809753,38
11/23/2021 23:36:07,0,2.34375,1.171875,37,37,37,1197.28015,1197.28015,1.85010052,0.355057925,0.00268544,99.7733459,26.01477,2.04951477,5.82875824,44,23.2809753,37
11/23/2021 23:36:08,0,2.30768919,1.15384459,37,38,39,1197.2804,1197.2804,1.83831322,0.345103174,0.002526222,99.77336,26.0088654,2.04904938,5.82922363,44,23.2809753,38
11/23/2021 23:36:09,0,1.51515007,0.757575035,37,37,38,1197.28015,1197.28015,1.73609889,0.267729044,0.002587397,99.77335,26.0077972,2.04896545,5.82930756,44,23.2809753,37.33333333
