,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space,
11/19/2021 05:49:41,0,2.34375,1.171875,40,40,41,1197.284,1197.284,1.77319288,0.2787565,0.001344112,99.773674,32.2309952,2.53924561,5.3390274,36,10.6016159,40.33333333
11/19/2021 05:54:41,0,1.5625,0.78125,40,40,41,1197.284,1197.284,1.69836128,0.228363425,0.001451721,99.77367,32.2047958,2.53718185,5.341091,36,10.6016388,40.33333333
11/19/2021 05:59:41,0,0.7692337,0.384616852,39,39,39,1197.28381,1197.28381,1.71143007,0.242230222,0.001393576,99.77365,32.20044,2.53683853,5.34143448,36,10.6017685,39
11/19/2021 06:04:41,0,1.5625,0.78125,39,39,40,1197.284,1197.284,1.6981312,0.2288568,0.001580944,99.773674,32.1373444,2.531868,5.346405,36,10.6017685,39.33333333
11/19/2021 06:09:40,0,1.5625,0.78125,39,39,39,1197.28394,1197.28394,1.8130666,0.3192868,0.001501733,99.77366,32.20993,2.53758621,5.340687,36,10.60186,39
11/19/2021 06:14:41,0,2.34375,1.171875,40,40,41,1197.2843,1197.2843,1.80046248,0.301363081,0.001628414,99.7737,32.21734,2.53816986,5.340103,36,10.6018753,40.33333333
11/19/2021 06:19:40,0,0.78125,0.390625,40,40,40,1197.28418,1197.28418,1.78747416,0.2946227,0.001449089,99.77368,32.10292,2.52915573,5.34911728,36,10.6019058,40
11/19/2021 06:24:41,0,2.272725,1.13636255,38,38,39,1197.284,1197.284,1.75494707,0.26977405,0.001400727,99.773674,32.22886,2.53907776,5.33919525,36,10.6019135,38.33333333
11/19/2021 06:29:41,0,1.5625,0.78125,38,38,39,1197.28394,1197.28394,1.78613234,0.299982667,0.00163193,99.77367,32.2355423,2.53960419,5.338669,35,10.601944,38.33333333
11/19/2021 06:34:41,0,1.5625,0.78125,39,39,39,1197.284,1197.284,1.77532828,0.2896233,0.001454547,99.77367,32.22261,2.53858566,5.33968735,36,10.6019669,39
